,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_max_depth,param_min_child_weight,param_num_class,param_objective,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.2607564926147461,0.041581714816534214,0.006644010543823242,0.000939537592380964,0.01,2,0.1,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.1, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
1,0.34447654088338214,0.01507137211545631,0.0073087215423583984,0.0009398747268329188,0.01,2,0.2,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.2, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
2,0.326474666595459,0.03934439093109923,0.008637269337972006,0.0016944690973377647,0.01,2,0.3,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.3, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
3,0.2733802795410156,0.054941930037964416,0.00830547014872233,0.0012428808067868797,0.01,2,0.4,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.4, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
4,0.42801109949747723,0.04482961332270807,0.0074768861134847,0.0007013803020737576,0.01,2,0.5,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.5, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
5,0.3972651958465576,0.005868381950766853,0.016611019770304363,0.0016938300288193583,0.01,2,0.6,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.6, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
6,0.33062346776326496,0.0656423132913641,0.009966691335042318,0.002152291105560187,0.01,2,0.7,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.7, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
7,0.27410682042439777,0.03892259234570032,0.00831278165181478,0.001889639944145249,0.01,2,0.8,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.8, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
8,0.2343276341756185,0.010530638667410785,0.00699154535929362,0.0008274640800350267,0.01,2,0.9,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 0.9, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
9,0.24014965693155924,0.0163180576168392,0.006647427876790364,0.0009334736090060065,0.01,2,1.0,2,multi:softmax,"{'eta': 0.01, 'max_depth': 2, 'min_child_weight': 1.0, 'num_class': 2, 'objective': 'multi:softmax'}",0.8348837209302326,0.8406976744186047,0.8232558139534883,0.8329457364341085,0.007251274005375868,3216
